"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
394924,2019-03-31,"New London, CT","CT",168,234600,0.00170794192997438,0.00428082191780822,0.0103359173126615,0.0275420679673231,-0.0015217130889128,"2006-04","2006-Q2",272400,-0.138766519823789,"2004-09"
395061,2019-03-31,"San Luis Obispo, CA","CA",169,618600,0.00422077922077922,0.0181040157998683,0.0456389452332657,0.0663278920130024,0.0357909279473836,"2019-03","2019-Q1",618600,0,"2019-03"
394622,2019-03-31,"Gainesville, FL","FL",170,182300,0.00551571980143409,0.0190050307434321,0.0642148277875073,0.0727832955905114,0.0110053683105527,"2006-11","2006-Q4",190600,-0.0435466946484785,"2006-04"
395065,2019-03-31,"Santa Cruz, CA","CA",171,823100,-0.00326955679341245,-0.00615793286645738,-0.00399322362052275,0.0648812365713947,0.0379202419204971,"2018-09","2018-Q3",834100,-0.0131878671622108,"2018-03"
394471,2019-03-31,"Clarksville, TN","TN",172,153700,0.00260926288323549,0.0125164690382082,0.0808720112517581,0.0415383516004932,0.0201518318256315,"2019-03","2019-Q1",153700,0,"2019-03"
394447,2019-03-31,"Cedar Rapids, IA","IA",173,146800,0.00136425648021828,0.00547945205479452,0.0359915314043754,0.0266667611182523,0.0153962403785297,"2019-03","2019-Q1",146800,0,"2019-03"
394851,2019-03-31,"Merced, CA","CA",174,263800,0.00151860288534548,0.00380517503805175,0.0624244865082561,0.103524426604222,0.076946059045969,"2006-01","2006-Q1",349000,-0.244126074498567,"2004-12"
395229,2019-03-31,"Wilmington, NC","NC",175,237900,0.00337410375369043,0.00933389902418328,0.0682532555006736,0.0571288641231422,0.0147481344857128,"2019-03","2019-Q1",237900,0,"2019-03"
394741,2019-03-31,"Kennewick, WA","WA",176,291900,0.0131898646303367,0.0537906137184116,0.204207920792079,0.113399478698702,0.0655513364636298,"2019-03","2019-Q1",291900,0,"2019-03"
394645,2019-03-31,"Greeley, CO","CO",177,327000,0.000918273645546373,0.0130111524163569,0.0731867410567772,0.108471773718769,0.0668525490813121,"2019-03","2019-Q1",327000,0,"2019-03"
395197,2019-03-31,"Waco, TX","TX",178,147400,0.0075187969924812,0.0236111111111111,0.0894308943089431,0.0964855355548977,0.0470195242808269,"2019-03","2019-Q1",147400,0,"2019-03"
394937,2019-03-31,"Olympia, WA","WA",179,322600,0.00342146189735614,0.0173446862188584,0.0969058143488609,0.0751051004674466,0.0237936186866936,"2019-03","2019-Q1",322600,0,"2019-03"
394323,2019-03-31,"Amarillo, TX","TX",180,142900,0.000700280112044818,0.00704721634954193,0.0585185185185185,0.0415178936288338,0.0242075445746539,"2019-03","2019-Q1",142900,0,"2019-03"
394387,2019-03-31,"Binghamton, NY","NY",181,117700,0.00170212765957447,0.00170212765957447,0.0837937384898711,0.0329242585182985,0.0101444533406259,"2019-03","2019-Q1",117700,0,"2019-03"
394660,2019-03-31,"Hagerstown, WV","MD",182,185000,0.00108225108225108,0.00598151169113649,0.0547320410490308,0.0407629396552842,-0.00134140154879225,"2006-07","2006-Q3",223000,-0.170403587443946,"2004-08"
394412,2019-03-31,"Bremerton, WA","WA",183,372200,0.00431732325957906,0.0183310533515732,0.0908558030480656,0.0860814381801185,0.033776155472252,"2019-03","2019-Q1",372200,0,"2019-03"
394772,2019-03-31,"Laredo, TX","TX",184,142600,-0.0027972027972028,0.00281293952180028,0.0641791044776119,0.046153597145328,0.0188575735831713,"2019-02","2019-Q1",143000,-0.0027972027972028,"2019-01"
394811,2019-03-31,"Lynchburg, VA","VA",185,158900,0.00126023944549464,0.00697084917617237,0.0426509186351706,0.0311589325819164,0.0118797855715149,"2019-03","2019-Q1",158900,0,"2019-03"
395240,2019-03-31,"Yakima, WA","WA",186,214000,0.00800753650494583,0.024904214559387,0.13588110403397,0.0896638202139741,0.0407009076771812,"2019-03","2019-Q1",214000,0,"2019-03"
753875,2019-03-31,"Crestview-Fort Walton Beach-Destin, FL","FL",187,252400,0.00477707006369427,0.00718276137270551,0.0525437864887406,0.0579971097868981,0.0260321131947063,"2005-11","2005-Q4",297100,-0.150454392460451,"2005-03"
395161,2019-03-31,"Topeka, KS","KS",188,119900,0.00418760469011725,0.0152413209144793,0.0811541929666366,0.0365500867380479,0.0130691284887074,"2019-03","2019-Q1",119900,0,"2019-03"
394813,2019-03-31,"Macon-Bibb County, GA","GA",189,114200,0.00175438596491228,0.00794351279788173,0.0959692898272553,0.0595952379988298,0.00185772014234198,"2007-07","2007-Q3",118400,-0.035472972972973,"2006-05"
394454,2019-03-31,"Champaign-Urbana, IL","IL",190,130900,0.00306513409961686,0.00769822940723634,0.016304347826087,0.0228808007632375,0.00673651923895013,"2018-08","2018-Q3",131300,-0.00304645849200305,"2018-08"
395171,2019-03-31,"Tuscaloosa, AL","AL",191,154600,0,0.00651041666666667,0.0980113636363636,0.0362273305693384,0.0138744746763462,"2019-03","2019-Q1",154600,0,"2019-03"
394483,2019-03-31,"College Station, TX","TX",192,203700,-0.000490677134445535,-0.00244857982370225,0.0483787956767885,0.0730244111271239,0.0385841300733862,"2019-01","2019-Q1",204200,-0.00244857982370225,"2019-01"
395103,2019-03-31,"Sioux Falls, SD","SD",193,193000,0.000518403317781234,0.00888656560376372,0.0552214324767633,0.0600306182102381,0.0317447347187605,"2019-03","2019-Q1",193000,0,"2019-03"
394455,2019-03-31,"Charleston, WV","WV",194,89700,0.00111607142857143,0,-0.028169014084507,0.0178642408291547,0.00598979095517227,"2017-06","2017-Q2",94800,-0.0537974683544304,"2015-12"
394334,2019-03-31,"Appleton, WI","WI",195,177300,0.00282805429864253,0.0131428571428571,0.0850673194614443,0.0641918213357955,0.0269491218788303,"2019-03","2019-Q1",177300,0,"2019-03"
394464,2019-03-31,"Chico, CA","CA",196,310400,0.0177049180327869,0.0677674578603371,0.131195335276968,0.0778180677127258,0.0339468751144469,"2019-03","2019-Q1",310400,0,"2019-03"
394459,2019-03-31,"Charlottesville, VA","VA",197,269400,-0.00148257968865827,-0.00369822485207101,0.0353574173712529,0.0350251629228286,0.0120030037074135,"2005-11","2005-Q4",324700,-0.170311056359717,
394468,2019-03-31,"Claremont, NH","NH",198,198400,0.000504286434694907,0.00506585612968592,0.0598290598290598,0.0354311199666753,0.00966822316057248,"2007-06","2007-Q2",199300,-0.00451580531861515,"2006-11"
394361,2019-03-31,"Barnstable Town, MA","MA",199,423200,-0.000708382526564345,-0.00587268029128494,0.0392927308447937,0.0437107005272115,0.023463527690939,"2018-12","2018-Q4",425700,-0.00587268029128494,"2018-10"
394803,2019-03-31,"Longview, TX","TX",200,135500,0.00893521965748325,0.0134629768137622,-0.0195369030390738,0.0322770979836962,0.0225651825635729,"2017-09","2017-Q3",150100,-0.0972684876748834,"2016-11"
394429,2019-03-31,"Burlington, VT","VT",201,274100,0.00219378427787934,0.00957642725598527,0.0648795648795649,0.0381543306685794,0.0228828279810613,"2019-03","2019-Q1",274100,0,"2019-03"
395002,2019-03-31,"Prescott, AZ","AZ",202,304800,0.00296150049358342,0.00395256916996047,0.0623910770303242,0.0777666401875508,0.031510714706938,"2019-03","2019-Q1",304800,0,"2019-03"
395114,2019-03-31,"Springfield, IL","IL",203,120500,0.000830564784053156,-0.000829187396351575,0.000830564784053156,0.0059125742997912,0.00980307417127779,"2017-03","2017-Q1",122200,-0.013911620294599,"2016-06"
395174,2019-03-31,"Tyler, TX","TX",204,161300,0.00498442367601246,0.0144654088050314,0.0789297658862876,0.0574379859377989,0.0277298733017945,"2019-03","2019-Q1",161300,0,"2019-03"
394773,2019-03-31,"Las Cruces, NM","NM",205,171700,0.00350672121566335,0.0171800947867299,0.065136476426799,0.0325359792482631,0.00558416768037184,"2019-03","2019-Q1",171700,0,"2019-03"
394585,2019-03-31,"Fargo, ND","ND",206,211700,0.00236742424242424,0.00426944971537002,0.00379326695116169,0.0534165585826905,0.0366544976577745,"2018-09","2018-Q3",213600,-0.00889513108614232,"2018-05"
394691,2019-03-31,"Houma, LA","LA",207,140800,0.00571428571428571,0.0151405912040375,0.0731707317073171,0.0309444637793972,0.0274479674605304,"2019-03","2019-Q1",140800,0,"2019-03"
395030,2019-03-31,"Rochester, MN","MN",208,213400,0.00046882325363338,0.00755429650613787,0.0794132524026303,0.0689499860205365,0.033495532234997,"2019-03","2019-Q1",213400,0,"2019-03"
394597,2019-03-31,"Florence, SC","SC",209,99300,0.00709939148073022,0.0376175548589342,0.0688912809472551,0.0352674383071274,0.0127310360976642,"2019-03","2019-Q1",99300,0,"2019-03"
