id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
29852201,Bedford-Stuyvesant,Private room,1,1,1,30,7,184,2,100,10,10
319724,Williamsburg,Private room,2,1,1,59,3,328,201,92,9,9
8009332,Sheepshead Bay,Shared room,2,1,1,48,1,89,51,93,10,9
19156426,Cypress Hills,Private room,1,2,1,35,28,316,5,100,10,10
17693,Washington Heights,Private room,2,1,1,65,2,341,42,98,10,10
588677,Williamsburg,Entire home/apt,4,1,2,250,30,337,1,83,8,8
21485328,East Harlem,Entire home/apt,2,1,0,110,7,39,15,91,9,9
18196999,East Harlem,Entire home/apt,1,1,1,300,3,363,0,,,
1086884,Williamsburg,Entire home/apt,4,1,2,123,5,188,88,96,10,9
26603881,Harlem,Entire home/apt,4,1,3,300,2,270,0,,,
21596493,Upper West Side,Entire home/apt,3,1,1,160,30,245,0,,,
18007903,Williamsburg,Entire home/apt,2,1,1,125,2,203,3,100,10,10
404502,Williamsburg,Private room,2,1,1,123,3,106,264,92,9,9
15423388,Williamsburg,Private room,4,1,1,101,1,138,86,97,10,9
5052495,Williamsburg,Private room,2,1,1,60,1,23,23,98,10,10
9403937,Upper West Side,Entire home/apt,2,1,0,175,30,365,0,,,
21266533,Maspeth,Entire home/apt,7,1,0,75,3,153,20,91,10,9
24397502,Williamsburg,Private room,3,1,1,91,2,335,58,90,9,9
32232908,Williamsburg,Private room,2,1.5,1,150,2,47,4,100,10,10
34172715,East Harlem,Private room,1,1,1,100,1,357,1,100,10,10
4606017,Upper West Side,Entire home/apt,2,1,0,129,12,157,19,93,10,9
17762733,East Harlem,Private room,2,1,1,103,2,176,126,91,9,9
22957267,East Harlem,Private room,2,1,1,49,1,296,54,76,8,8
29129902,Upper West Side,Entire home/apt,6,2,3,275,3,33,5,100,10,10
3920562,East Harlem,Private room,2,1,1,90,1,149,288,92,9,9
4393563,Elmhurst,Private room,3,1.5,1,74,30,365,0,,,
30360045,Upper West Side,Private room,2,1,1,74,1,290,2,90,8,10
30371587,Rego Park,Private room,3,1,1,45,3,18,5,92,10,9
2023577,Upper West Side,Private room,1,1,1,99,1,364,29,83,9,8
33834415,Upper West Side,Entire home/apt,5,1,1,250,1,271,0,,,
17367228,Upper West Side,Entire home/apt,4,1,2,225,30,310,5,95,10,8
7452390,Upper West Side,Private room,2,1,1,75,4,140,43,85,9,9
1560339,Upper West Side,Entire home/apt,3,1,0,104,30,73,26,95,10,9
17464151,Upper West Side,Entire home/apt,2,1,1,200,30,242,3,100,10,10
33514118,Elmhurst,Private room,2,1,1,38,1,3,1,100,10,10
21649172,Upper West Side,Entire home/apt,1,1,1,225,6,171,4,100,10,10
9391609,Upper West Side,Entire home/apt,3,1,1,191,30,365,0,,,
14530298,Upper West Side,Entire home/apt,4,1,1,250,30,358,0,,,
13654347,Upper West Side,Entire home/apt,5,1.5,2,250,3,29,5,96,9,10
33157003,Flatlands,Entire home/apt,6,1,2,110,3,318,1,100,10,10
29605492,Brooklyn Heights,Entire home/apt,4,1,0,,3,363,0,,,
23166922,Upper West Side,Private room,4,1,1,75,1,88,1,,,
29626682,Morningside Heights,Private room,2,1,1,90,1,44,29,99,10,10
1003530,Upper West Side,Private room,2,1,1,135,7,151,70,94,10,10
27310782,Gowanus,Entire home/apt,2,1,1,140,2,68,5,100,10,10
5318322,Gowanus,Entire home/apt,10,1.5,3,495,2,269,90,85,9,9
31787990,Washington Heights,Private room,1,1,1,75,3,4,2,,,
16778904,Washington Heights,Private room,1,1,1,25,3,115,29,99,10,10
24379279,East New York,Private room,1,1,1,55,1,87,1,,,
6795231,Gowanus,Entire home/apt,2,1,1,125,30,39,13,98,10,10
29946107,Carroll Gardens,Entire home/apt,2,1,1,147,1,66,10,100,10,10
30015813,Gowanus,Private room,2,2,1,77,30,314,0,,,
17177726,Gowanus,Entire home/apt,4,1,2,185,30,358,9,98,10,10
17210984,Carroll Gardens,Private room,2,1,1,95,3,59,63,97,10,10
9668,Harlem,Private room,2,1,1,50,3,337,238,87,9,9
14167380,Greenpoint,Entire home/apt,5,1,2,160,3,322,51,95,10,10
32285425,Downtown Brooklyn,Entire home/apt,3,1,1,650,1,365,1,,,
4235620,Flushing,Entire home/apt,2,1,1,100,7,315,8,98,10,10
932277,DUMBO,Private room,2,1,1,125,20,245,35,96,10,9
22028894,Elmhurst,Entire home/apt,3,1,1,88,4,32,39,92,10,9
13341955,Jackson Heights,Entire home/apt,4,1,0,125,3,254,85,97,10,10
33548849,Jackson Heights,Private room,2,1,1,50,5,35,0,,,
29763192,Long Island City,Shared room,1,1,1,30,3,336,2,80,7,6
26994401,Elmhurst,Entire home/apt,6,1,2,165,1,103,27,88,9,8
14203912,Williamsburg,Private room,2,2,1,60,12,34,10,96,10,10
18071246,Long Island City,Private room,1,2,1,35,1,261,82,92,10,10
23488098,Elmhurst,Private room,2,1,1,49,1,63,3,100,9,9
1121497,Williamsburg,Private room,2,1.5,1,75,5,261,70,90,9,9
32586373,Williamsburg,Entire home/apt,3,1,2,120,2,296,6,90,9,9
8646618,Astoria,Private room,3,2,1,77,1,13,241,93,9,9
15250168,Williamsburg,Private room,4,1,1,85,1,302,28,98,10,10
12028198,Jackson Heights,Private room,5,1,1,60,1,354,62,92,9,9
30397717,Williamsburg,Private room,2,1,1,90,1,364,0,,,
33544651,Ridgewood,Private room,2,1,1,60,2,62,2,100,8,10
6660518,Kew Gardens,Private room,2,1,1,59,9,266,11,96,10,10
29983740,Flushing,Private room,4,1,0,75,1,50,1,60,10,10
13936825,Forest Hills,Private room,2,1,1,75,2,110,16,98,10,10
33807187,Longwood,Private room,4,1,2,100,1,89,1,,,
31579765,Springfield Gardens,Shared room,1,1,1,24,1,345,2,70,10,8
29984652,East Elmhurst,Entire home/apt,4,1,1,79,1,295,7,89,9,9
25355807,Springfield Gardens,Private room,2,1,1,92,1,179,0,,,
15144127,Sunset Park,Private room,2,1,1,50,1,6,45,98,10,10
4060526,Sunset Park,Private room,1,1,1,33,1,144,45,83,9,8
29737168,Jamaica,Private room,4,1,1,125,1,344,0,,,
5871372,Williamsbridge,Entire home/apt,2,1,0,63,5,185,79,95,10,10
29656859,Jamaica,Private room,2,1,1,60,2,128,2,100,10,10
19359445,Wakefield,Entire home/apt,2,1,0,120,2,144,27,99,10,9
26777948,Edenwald,Entire home/apt,3,1,1,42,1,36,22,88,9,9
32492270,Springfield Gardens,Private room,2,1,1,75,1,141,18,87,9,9
32293525,Jamaica,Private room,5,1.5,1,50,1,167,2,70,7,10
22770831,Richmond Hill,Private room,2,1,1,50,6,44,10,100,10,10
31474638,Sunset Park,Private room,2,1,1,49,1,152,0,,,
23404471,Jamaica,Private room,2,1,1,55,2,63,5,96,10,10
21030077,Jamaica,Private room,4,1.5,1,46,1,152,10,78,8,9
14228589,Sunset Park,Private room,1,1,1,50,7,24,45,95,10,10
4866867,Sunset Park,Private room,2,1,1,70,30,183,15,93,10,10
1818420,Canarsie,Private room,3,1,1,37,5,313,53,98,10,10
16248277,East Elmhurst,Entire home/apt,6,2,4,239,3,258,11,93,9,9
20552326,Jamaica,Private room,2,1,1,80,1,163,16,88,9,8
33828807,Borough Park,Private room,2,1,1,54,1,24,1,100,10,10
22489609,Sunset Park,Private room,2,1,1,35,3,75,23,91,9,9
3836199,East Elmhurst,Entire home/apt,6,1,2,120,3,266,98,89,9,9
4206034,Tompkinsville,Entire home/apt,4,1,0,99,5,332,34,98,10,10
5328633,Ditmars Steinway,Entire home/apt,12,1,3,225,3,239,144,96,10,9
16735848,Richmond Hill,Private room,2,1,1,33,1,304,13,95,10,9
32492910,Springfield Gardens,Private room,2,1,1,55,1,160,7,97,10,10
149777,Woodlawn,Entire home/apt,4,1,1,77,1,301,188,92,9,9
11138823,Wakefield,Entire home/apt,3,1,1,90,2,329,189,96,10,10
15725732,Bay Ridge,Entire home/apt,8,1,2,116,1,307,202,86,9,8
22503721,Queens Village,Private room,2,1,2,120,3,83,0,,,
30144337,Sunset Park,Private room,2,1,1,75,1,365,1,,,
28328473,Far Rockaway,Private room,1,1,1,50,1,85,16,85,9,9
21865637,Far Rockaway,Private room,3,1,2,68,1,69,59,91,9,9
34310607,Rosedale,Private room,2,1,1,60,1,71,0,,,
9935095,Sheepshead Bay,Private room,2,2,2,500,30,173,0,,,
32942864,Gravesend,Shared room,1,1,1,25,10,337,1,100,10,10
19160371,Bay Ridge,Entire home/apt,5,2,3,100,6,22,5,100,10,10
32712905,Flushing,Entire home/apt,4,1,0,69,1,326,0,,,
15378960,Fort Hamilton,Entire home/apt,4,1,2,95,6,130,17,98,10,10
29736291,Flushing,Private room,12,1,1,49,1,176,4,85,9,8
29178713,Bay Ridge,Private room,2,1,1,65,1,123,7,100,10,10
31360817,Fort Hamilton,Private room,2,1,0,90,2,14,0,,,
14115645,Cambria Heights,Private room,2,1,1,60,2,107,69,95,10,10
25138975,Rockaway Beach,Entire home/apt,6,1,2,89,3,97,27,90,9,9
27817851,Throgs Neck,Private room,2,1,1,140,1,357,24,92,10,9
9416007,Gravesend,Private room,2,1.5,1,70,3,160,43,97,10,10
33652024,St. Albans,Private room,2,1,0,80,2,179,0,,,
20572837,St. George,Private room,1,1,1,70,31,365,0,,,
5581272,Far Rockaway,Private room,2,2,1,38,30,157,4,100,10,10
22307800,Gravesend,Entire home/apt,2,1,1,59,3,50,37,99,10,10
16449771,Arverne,Private room,2,1,1,55,1,149,27,95,9,9
2578731,Rockaway Beach,Entire home/apt,4,1,2,140,2,0,14,94,10,9
29905327,Coney Island,Entire home/apt,6,1,2,101,5,247,1,20,2,6
20886536,New Springville,Private room,2,1,1,48,1,85,66,95,10,10
10993508,Manhattan Beach,Entire home/apt,6,1.5,3,250,30,122,0,,,
18359426,Arverne,Private room,2,1,1,48,1,9,62,97,10,10
29212737,Whitestone,Private room,3,1,1,49,1,68,42,98,10,10
26504376,Rockaway Beach,Entire home/apt,4,1,1,149,1,24,37,94,10,9
30270233,Coney Island,Private room,1,1,1,50,1,313,7,89,9,9
10262473,Dyker Heights,Entire home/apt,3,1,1,69,3,0,32,97,10,10
25232614,West Village,Private room,2,1,1,100,1,0,4,75,9,9
18934106,Richmond Hill,Private room,2,1,1,59,1,0,123,96,10,10
32742096,East Village,Entire home/apt,7,1,2,184,30,0,0,,,
13108192,Chelsea,Entire home/apt,3,1,0,205,30,0,2,90,10,7
19502624,Midtown,Entire home/apt,4,1,0,425,2,0,2,100,10,10
16001997,Washington Heights,Entire home/apt,4,1,1,115,31,0,2,90,10,10
17548575,Murray Hill,Private room,2,1,1,75,1,0,2,100,10,10
23723855,Upper West Side,Private room,3,1,2,175,4,0,5,100,10,10
26703677,Breezy Point,Private room,2,1,1,195,1,180,3,100,10,9
26196660,Brighton Beach,Private room,2,1,1,38,3,167,12,92,10,10
27063533,Coney Island,Private room,6,1,3,179,4,303,3,87,9,9
