,id,neighbourhood_cleansed,room_type,accommodates,bathrooms,bedrooms,price,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value
24193,23964318,Upper East Side,Private room,2,1.0,1.0,80.0,1,0,23,83.0,9.0,9.0
24194,23943945,Boerum Hill,Entire home/apt,4,1.0,1.0,150.0,1,0,3,100.0,10.0,10.0
24195,23975246,Williamsburg,Entire home/apt,4,1.0,2.0,160.0,3,0,3,100.0,10.0,10.0
24196,23988427,Bushwick,Private room,1,1.5,1.0,55.0,1,0,0,,,
24197,22306848,Upper West Side,Entire home/apt,4,1.5,2.0,400.0,1,0,0,,,
24198,23826739,Astoria,Private room,2,1.0,1.0,60.0,1,0,24,98.0,10.0,10.0
24199,24523422,East Flatbush,Private room,2,1.5,1.0,36.0,2,0,1,100.0,10.0,10.0
24200,24499863,Upper West Side,Private room,3,1.0,1.0,100.0,2,0,14,94.0,10.0,10.0
24201,24538218,Bedford-Stuyvesant,Private room,2,1.0,1.0,60.0,7,0,11,100.0,10.0,10.0
24202,24550536,Fort Greene,Private room,2,1.0,1.0,102.0,2,0,1,100.0,10.0,10.0
24203,24562197,Upper East Side,Private room,2,1.0,1.0,75.0,14,0,5,87.0,9.0,9.0
24204,24580422,Murray Hill,Entire home/apt,2,1.0,0.0,150.0,2,0,17,98.0,10.0,10.0
24205,24808312,Bushwick,Private room,2,2.5,1.0,40.0,3,0,2,90.0,10.0,10.0
24206,24810452,Williamsburg,Private room,2,1.0,1.0,99.0,2,0,7,100.0,10.0,10.0
24207,25434447,Williamsburg,Private room,4,2.0,1.0,230.0,1,0,21,87.0,8.0,8.0
24208,24853574,Upper West Side,Entire home/apt,4,1.0,0.0,150.0,1,179,6,100.0,10.0,10.0
24209,24734792,Harlem,Private room,2,1.0,1.0,120.0,10,0,1,100.0,10.0,10.0
24210,24756445,Prospect-Lefferts Gardens,Entire home/apt,3,1.0,1.0,75.0,2,0,2,100.0,10.0,10.0
24211,24754942,Prospect-Lefferts Gardens,Entire home/apt,2,1.0,1.0,80.0,2,0,8,97.0,10.0,10.0
24212,25485201,West Village,Entire home/apt,2,1.0,1.0,157.0,2,0,4,100.0,10.0,10.0
24213,25488542,Washington Heights,Private room,2,1.0,1.0,40.0,2,0,6,100.0,10.0,10.0
24214,25492095,Crown Heights,Private room,1,1.5,4.0,40.0,15,0,0,,,
24215,25518658,West Village,Entire home/apt,2,1.0,1.0,200.0,4,0,2,100.0,10.0,10.0
24216,23275013,Greenpoint,Entire home/apt,2,1.0,1.0,100.0,90,0,0,,,
24217,25155346,Upper East Side,Private room,2,1.0,1.0,70.0,2,0,18,98.0,10.0,10.0
24218,25135607,Greenpoint,Entire home/apt,4,2.0,2.0,150.0,5,0,6,100.0,10.0,10.0
24219,25135765,Harlem,Entire home/apt,4,1.0,1.0,225.0,2,0,7,100.0,10.0,10.0
24220,25139362,Bushwick,Private room,1,1.0,1.0,40.0,4,0,2,90.0,10.0,9.0
24221,25193004,Flatbush,Private room,2,1.0,1.0,95.0,30,0,5,100.0,10.0,10.0
24222,26488707,Harlem,Private room,2,1.0,1.0,49.0,1,0,12,98.0,10.0,10.0
24223,26555992,Bushwick,Entire home/apt,3,1.0,1.0,65.0,2,0,5,100.0,10.0,10.0
24224,26532770,Hell's Kitchen,Private room,2,1.0,1.0,250.0,4,0,0,,,
24225,26602421,Chelsea,Entire home/apt,4,1.0,0.0,255.0,3,0,4,100.0,10.0,10.0
24226,25222993,Harlem,Entire home/apt,3,1.0,2.0,150.0,5,0,1,100.0,10.0,10.0
24227,24177410,Bedford-Stuyvesant,Private room,3,1.0,0.0,80.0,2,0,3,80.0,10.0,9.0
24228,24184615,Fort Greene,Private room,2,1.0,1.0,90.0,1,0,22,97.0,10.0,10.0
24229,24186326,Battery Park City,Entire home/apt,4,1.0,1.0,158.0,2,0,14,96.0,10.0,9.0
24230,24324489,East Village,Private room,1,1.0,1.0,80.0,3,0,2,100.0,10.0,10.0
24231,24759050,Upper West Side,Private room,1,1.0,3.0,67.0,12,0,1,100.0,10.0,10.0
24232,24349922,Bushwick,Private room,2,1.0,1.0,47.0,5,0,5,75.0,10.0,10.0
24233,24334634,Morningside Heights,Entire home/apt,3,1.0,2.0,95.0,7,0,0,,,
24234,24356390,Bushwick,Entire home/apt,6,1.0,2.0,150.0,2,0,17,98.0,10.0,10.0
24235,24229203,Navy Yard,Entire home/apt,3,1.0,1.0,150.0,2,0,19,99.0,10.0,10.0
24236,24226511,East Harlem,Entire home/apt,6,1.0,2.0,186.0,1,0,0,,,
24237,24370692,Williamsburg,Private room,1,1.0,1.0,45.0,5,0,5,100.0,10.0,10.0
