Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
3/31/2019,62017,Cypress Hills,NY,New York-Newark-Jersey City,Kings County,New York,43,746000,0.00606878,0.009745533,0.102734664,0.100908119,0.062151784,2019-03,2019-Q1,746000,0,2019-03
3/31/2019,62028,Park Slope,NY,New York-Newark-Jersey City,Kings County,New York,1301,1214200,0.005715232,0.001897846,-0.062031672,0.047014227,0.050581195,2017-05,2017-Q2,1314500,-0.076302777,2015-11
3/31/2019,62034,Gravesend,NY,New York-Newark-Jersey City,Kings County,New York,286,903000,0.004896506,0.001663894,0.021724372,0.068157006,0.05389753,2018-10,2018-Q4,908500,-0.006053935,2018-08
3/31/2019,62029,Sunset Park,NY,New York-Newark-Jersey City,Kings County,New York,282,1116400,0.007945107,0.018799051,0.170844258,0.108408227,0.066795675,2019-03,2019-Q1,1116400,0,2019-03
3/31/2019,62016,Boerum Hill,NY,New York-Newark-Jersey City,Kings County,New York,1446,804400,-0.001489573,-0.038718929,-0.005194163,0.082887889,0.054535227,2018-10,2018-Q4,851700,-0.055535987,2018-03
3/31/2019,62016,Cobble Hill,NY,New York-Newark-Jersey City,Kings County,New York,1446,804400,-0.001489573,-0.038718929,-0.005194163,0.082887889,0.054535227,2018-10,2018-Q4,851700,-0.055535987,2018-03
3/31/2019,62041,Gowanus,NY,New York-Newark-Jersey City,Kings County,New York,2051,1137500,-0.001930333,-0.015236776,-0.079990294,0.058239534,0.053106204,2016-09,2016-Q3,1271700,-0.105528033,2015-12
3/31/2019,62014,Downtown Brooklyn,NY,New York-Newark-Jersey City,Kings County,New York,463,524700,-0.000952018,-0.007190161,0.116307692,0.098255576,0.051683953,2018-11,2018-Q4,533600,-0.01667916,2018-10
3/31/2019,62025,Bath Beach,NY,New York-Newark-Jersey City,Kings County,New York,75,704500,0.000426015,-0.008723793,0.020570766,0.068725913,0.046473439,2018-07,2018-Q3,713500,-0.012613875,2018-06
3/31/2019,61615,Chelsea,NY,New York-Newark-Jersey City,New York County,New York,1503,1917200,0.008415737,-0.016114133,-0.061162529,0.004632864,0.026790548,2017-01,2017-Q1,2315900,-0.172157692,2015-06
3/31/2019,61616,Lower East Side,NY,New York-Newark-Jersey City,New York County,New York,8,942400,-0.000848176,-0.021899325,-0.042471042,0.049828039,0.032944391,2017-10,2017-Q4,1009900,-0.066838301,2017-04
3/31/2019,61617,East Village,NY,New York-Newark-Jersey City,New York County,New York,47,1598100,-0.004795118,-0.022568807,-0.049711601,0.031340425,0.035735837,2018-05,2018-Q2,1707200,-0.063905811,2017-01
3/31/2019,61620,Financial District,NY,New York-Newark-Jersey City,New York County,New York,10241,910200,0.005634736,-0.015574302,0.004414037,0.015144833,0.02551269,2018-11,2018-Q4,943400,-0.035191859,2018-05
3/31/2019,61623,East Village,NY,New York-Newark-Jersey City,New York County,New York,23,1087600,-0.006122635,-0.049217589,-0.069950402,0.024761302,0.027201091,2017-02,2017-Q1,1221500,-0.109619321,2016-09
3/31/2019,61624,Flatiron District,NY,New York-Newark-Jersey City,New York County,New York,947,1684600,0.002678412,-0.007423992,-0.023929544,0.012097366,0.031641307,2018-05,2018-Q2,1753900,-0.039511945,2015-06
3/31/2019,61625,Chelsea,NY,New York-Newark-Jersey City,New York County,New York,28,1622700,-0.004844842,-0.018923821,-0.066179433,0.006612188,0.028698912,2016-08,2016-Q3,1820000,-0.108406593,2014-05
3/31/2019,61626,NoHo,NY,New York-Newark-Jersey City,New York County,New York,2411,2439400,-0.003228047,-0.027740136,-0.02478612,0.027102179,0.045841767,2016-03,2016-Q1,2655500,-0.081378272,2015-11
3/31/2019,61626,Soho,NY,New York-Newark-Jersey City,New York County,New York,2411,2439400,-0.003228047,-0.027740136,-0.02478612,0.027102179,0.045841767,2016-03,2016-Q1,2655500,-0.081378272,2015-11
3/31/2019,61627,Tribeca,NY,New York-Newark-Jersey City,New York County,New York,2031,2931900,0.009746522,0.001195192,-0.044236537,0.007213794,0.033365005,2017-01,2017-Q1,3354200,-0.125901854,2014-07
3/31/2019,61628,West Village,NY,New York-Newark-Jersey City,New York County,New York,559,1840700,0.005462391,-0.032839428,-0.058994939,-0.004332742,0.03279001,2016-04,2016-Q2,2284200,-0.194159881,2013-12
3/31/2019,61630,Murray Hill,NY,New York-Newark-Jersey City,New York County,New York,13,988200,0.000101204,-0.017986684,-0.039276687,0.018964563,0.020210133,2017-02,2017-Q1,1092500,-0.095469108,2015-11
