"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRT","Portugal","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-2.325314,"E","Estimated value"
"PRT","Portugal","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-16.507684,,
"SVK","Slovak Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-5.155602,,
"SVK","Slovak Republic","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-8.25715,"E","Estimated value"
"SVK","Slovak Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-3.839586,,
"SVK","Slovak Republic","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-12.110413,"E","Estimated value"
"ESP","Spain","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-5.208875,"P","Provisional value"
"ESP","Spain","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-18.484123,"P","Provisional value"
"ESP","Spain","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-4.071392,"P","Provisional value"
"ESP","Spain","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-22.099219,"P","Provisional value"
"SWE","Sweden","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,0.121829,,
"SWE","Sweden","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-8.599972,,
"SWE","Sweden","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,0.407495,,
"SWE","Sweden","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-8.284682,,
"CHE","Switzerland","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-2.60701,,
"CHE","Switzerland","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-1.495544,,
"TUR","Turkey","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,0.615463,,
"TUR","Turkey","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,4.410715,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-2.187179,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GPSA","Growth rate compared to previous quarter, seasonally adjusted","Q","Quarterly","2020-Q2","Q2-2020","PC","Percentage","0","Units",,,-20.374743,,
"GBR","United Kingdom","B1_GE","Gross domestic product - expenditure approach","GYSA","Growth rate compared to the same quarter of previous year, seasonally adjusted","Q","Quarterly","2020-Q1","Q1-2020","PC","Percentage","0","Units",,,-1.742512,,
